"","X","Y","Z","loc","jaar"
"1:1",205949.964,188458.653,21.891,"controle5-1","2016"
"1:2",205949.554,188459.504,21.652,"controle5-2","2016"
"1:3",205949.136,188460.482,21.613,"controle5-3","2016"
"1:4",205948.908,188461.344,21.696,"controle5-4","2016"
"1:5",205948.587,188462.444,21.876,"controle5-5","2016"
"1:6",205951.668,188463.725,21.775,"controle5-6","2016"
"1:7",205952.042,188462.896,21.778,"controle5-7","2016"
"1:8",205952.307,188461.957,21.517,"controle5-8","2016"
"1:9",205952.631,188460.78,21.7,"controle5-9","2016"
"1:10",205953.198,188460.015,22.116,"controle5-10","2016"
"1:11",205956.337,188461.375,22.191,"controle5-11","2016"
"1:12",205955.994,188462.334,21.771,"controle5-12","2016"
"1:13",205955.573,188463.328,21.714,"controle5-13","2016"
"1:14",205955.377,188464.097,21.633,"controle5-14","2016"
"1:15",205954.751,188465.252,21.814,"controle5-15","2016"
"1:16",205957.471,188466.548,21.671,"controle5-16","2016"
"1:17",205958.09,188465.577,21.608,"controle5-17","2016"
"1:18",205958.554,188464.556,21.499,"controle5-18","2016"
"1:19",205958.973,188463.702,21.675,"controle5-19","2016"
"1:20",205959.524,188462.93,22.051,"controle5-20","2016"
"1:21",205962.381,188464.243,21.912,"controle5-21","2016"
"1:22",205961.836,188465.255,21.905,"controle5-22","2016"
"1:23",205961.464,188466.403,21.769,"controle5-23","2016"
"1:24",205961.141,188467.478,21.797,"controle5-24","2016"
"1:25",205960.708,188468.343,22.097,"controle5-25","2016"
"1:26",205963.551,188469.274,22.085,"controle5-26","2016"
"1:27",205964.089,188468.156,21.988,"controle5-27","2016"
"1:28",205964.582,188467.046,21.725,"controle5-28","2016"
"1:29",205964.963,188466.034,21.553,"controle5-29","2016"
"1:30",205965.337,188465.246,22.098,"controle5-30","2016"
"1:31",205968.324,188466.142,22.269,"controle5-31","2016"
"1:32",205968.126,188467.042,21.564,"controle5-32","2016"
"1:33",205967.701,188468.496,21.591,"controle5-33","2016"
"1:34",205967.295,188469.628,21.891,"controle5-34","2016"
"1:35",205966.877,188470.454,21.762,"controle5-35","2016"
"1:36",205969.642,188471.803,21.777,"controle5-36","2016"
"1:37",205969.979,188470.818,21.975,"controle5-37","2016"
"1:38",205970.479,188469.511,21.588,"controle5-38","2016"
"1:39",205970.884,188468.558,21.653,"controle5-39","2016"
"1:40",205971.228,188467.677,22.153,"controle5-40","2016"
"1:41",205974.714,188469.231,22.366,"controle5-41","2016"
"1:42",205974.515,188470.022,21.73,"controle5-42","2016"
"1:43",205974.01,188471.284,21.666,"controle5-43","2016"
"1:44",205973.676,188472.401,21.783,"controle5-44","2016"
"1:45",205973.484,188473.421,21.802,"controle5-45","2016"
"1:46",205975.786,188474.403,22.05,"controle5-46","2016"
"1:47",205976.116,188473.554,21.798,"controle5-47","2016"
"1:48",205976.523,188472.546,21.776,"controle5-48","2016"
"1:49",205976.938,188471.662,21.576,"controle5-49","2016"
"1:50",205976.936,188471.624,21.575,"controle5-50","2016"
"1:51",205980.491,188471.858,22.201,"controle5-51","2016"
"1:52",205980.267,188472.593,21.699,"controle5-52","2016"
"1:53",205979.792,188474.009,21.647,"controle5-53","2016"
"1:54",205979.569,188474.955,21.678,"controle5-54","2016"
"1:55",205979.211,188475.967,21.839,"controle5-55","2016"
"1:56",205981.521,188476.883,21.742,"controle5-56","2016"
"1:57",205981.916,188475.744,21.867,"controle5-57","2016"
"1:58",205982.311,188474.768,21.669,"controle5-58","2016"
"1:59",205982.789,188473.866,21.721,"controle5-59","2016"
"1:60",205983.347,188473.126,22.014,"controle5-60","2016"
"1:61",205986.871,188474.812,22.228,"controle5-61","2016"
"1:62",205986.518,188475.919,21.75,"controle5-62","2016"
"1:63",205985.943,188477.101,21.749,"controle5-63","2016"
"1:64",205985.71,188477.876,21.764,"controle5-64","2016"
"1:65",205985.338,188478.749,21.906,"controle5-65","2016"
"1:66",205987.763,188479.776,21.863,"controle5-66","2016"
"1:67",205988.261,188478.828,21.811,"controle5-67","2016"
"1:68",205988.635,188477.697,21.846,"controle5-68","2016"
"1:69",205988.968,188476.905,21.688,"controle5-69","2016"
"1:70",205989.424,188476.079,22.076,"controle5-70","2016"
"1:71",205992.563,188477.208,22.254,"controle5-71","2016"
"1:72",205992.312,188478.074,21.866,"controle5-72","2016"
"1:73",205991.737,188479.148,21.754,"controle5-73","2016"
"1:74",205991.508,188480.017,21.833,"controle5-74","2016"
"1:75",205991.073,188481.084,21.698,"controle5-75","2016"
"1:76",205594.54,188259.04,21.735,"controle1-1","2016"
"1:77",205593.78,188259.775,21.441,"controle1-2","2016"
"1:78",205593.198,188260.751,21.345,"controle1-3","2016"
"1:79",205592.739,188261.48,21.331,"controle1-4","2016"
"1:80",205592.161,188262.367,21.474,"controle1-5","2016"
"1:81",205594.144,188263.846,21.347,"controle1-6","2016"
"1:82",205594.717,188262.929,21.347,"controle1-7","2016"
"1:83",205595.025,188262.098,21.409,"controle1-8","2016"
"1:84",205595.569,188261.314,21.516,"controle1-9","2016"
"1:85",205596.175,188260.532,21.568,"controle1-10","2016"
"1:86",205599.825,188263.079,21.679,"controle1-11","2016"
"1:87",205599.097,188263.826,21.522,"controle1-12","2016"
"1:88",205598.46,188264.762,21.6,"controle1-13","2016"
